id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
131,Matrix A,Hadoop,2.0,0.5180003868085181,0.5321552607251653,0.33819845701958823,4-to-1,0.18421376120153035,0.07362860631829071,0.17259884529538305,0.1418553785106452,3.3136105452871796,24.670458289977027
132,Matrix A,CacheFollower,2.0,0.3419344937812453,0.3421183875236361,0.31885884017882354,2-to-1,0.1369195652990556,0.059436840263445354,0.1655818628351204,0.10384596864575267,388.8126299566919,2053.406228815951
133,Matrix B,CacheFollower,1.0,0.3914071175035624,0.3965280275429562,0.3208518324366867,1-to-1,0.08723969975051664,0.01673262283013168,0.47078915043854974,-0.673729216895113,0.47475715630457094,-0.6756747046873824
134,Matrix C,Hadoop,2.0,0.4241574152059473,0.4528868554803836,0.2117037503722816,4-to-1,0.07433973988375146,0.02724805619178987,1.6715776134997153,0.18127536970071367,0.23955574064198715,-0.4372051139503616
135,Matrix A,Hadoop,1.0,0.5683213427477707,0.5985214086783045,0.5037859418669257,1-to-1,0.2244383813530401,0.08256422912036411,0.48972941587046465,0.0007444963220993283,25.843972482651875,136.9352526834391
136,Matrix A,CacheFollower,1.0,0.4954424477588005,0.49570796022622243,0.4620066639756825,2-to-1,0.21363906005644256,0.07781962432194084,0.27289914215168776,0.03811256547760927,922.4047181407927,3734.678007312952
137,Matrix C,WebServer,2.0,0.3516087802067719,0.3719393194202195,0.14849903433711342,1-to-1,0.06581894421190564,0.0548068830237431,1.174048841816032,0.5395661886888538,0.17060222311156042,-0.4867388725705638
138,Matrix C,WebServer,1.0,0.6056627327176369,0.6405939040463374,0.26682619324505363,2-to-1,0.12566203839874202,0.061060578787418184,2.8520969319050202,0.20353956705957255,0.34817429607319084,-0.28818405827257565
139,Matrix A,CacheFollower,2.0,0.36169084657817685,0.36185973867577603,0.3372580392965135,2-to-1,0.15234857481975908,0.057097188423433545,0.18244968136588252,0.10077814449964434,478.6157934510255,2439.7359843695226
140,Matrix C,Hadoop,2.0,0.26457544482013917,0.2824987631661187,0.11638060066567635,2-to-1,0.040555367621272514,-0.014022117188648712,0.8278125088115158,0.628818332199717,0.1352760410469409,-0.4544091834029825
141,Matrix B,CacheFollower,1.0,0.3146075118311099,0.3157169140147756,0.2566059973603748,4-to-1,0.06859549141387804,0.034826718794911775,0.2752614471591916,-0.640850772387857,0.27751755786100624,-0.6447260595493584
142,Matrix A,Hadoop,2.0,0.6382770065410617,0.672122621802676,0.5657363397259132,1-to-1,0.35172348936013414,0.12046315767718253,0.6133416045825253,-0.0428867624043823,28.99468715607922,132.11492434429644
143,Matrix B,CacheFollower,1.0,0.6195808254213897,0.6276824048216104,0.5169435456960904,2-to-1,0.2414765093804517,0.05070999234875888,1.1072152936855135,-0.76213769748659,1.1180683345560631,-0.7710506444536724
144,Matrix A,Hadoop,2.0,0.3881829176457554,0.3987745188700677,0.25343153949843805,4-to-1,0.08322230770743083,0.048232228637618633,0.10669036393046588,0.18964189122524747,0.0773641894619568,0.2913799330576259
145,Matrix C,WebServer,1.0,0.5497249697782385,0.5812654858709314,0.2745847561331039,4-to-1,0.11204420538809237,0.07293894150079816,2.370893079348797,0.22617625645216502,0.3011366699827419,-0.3642128358830327
146,Matrix B,WebServer,2.0,0.4873949190368663,0.5393871799546035,0.4072572978833368,2-to-1,0.14916886383658517,0.06212606676338988,0.569425566658912,-0.7227200166289512,0.5880233099865265,-0.7969518271720606
147,Matrix A,Hadoop,1.0,0.3726029934923354,0.39241306624849775,0.34854432308170497,2-to-1,0.09898251912669796,0.02028250255618672,0.2425645193300858,0.0841776457067893,12.737529859951627,87.98631361352746
148,Matrix B,CacheFollower,1.0,0.4402139263202343,0.44175431823002814,0.35904572224989845,4-to-1,0.13034192739194178,0.027546069397063465,0.46463396751600233,-0.6717213526310589,0.4689822638159243,-0.6758265438976077
149,Matrix B,Hadoop,2.0,0.492439325719155,0.5018208247125722,0.40362012364257216,4-to-1,0.1949350933235119,0.04437097212244524,0.5237103025871865,-0.7020679104766633,0.5397234190190848,-0.7461269330537904
150,Matrix C,WebServer,2.0,0.7165477704140878,0.757811926006635,0.35798181558192205,4-to-1,0.20507933927055344,0.12499219922076156,4.201442953145755,0.20252439472313474,0.4738426881196519,-0.09609990881639165
